Rank,City,Country,2019,2020,Growth_Rate_(%)
486,Bandar Lampung,Indonesia,68768,1091512,2.13
487,Zaozhuang,China,74933,1087745,1.19
488,Yerevan,Armenia,83323,1086275,0.27
489,Binzhou,China,42112,1083867,4.01
490,Yongin,South Korea,61544,1083345,2.05
491,Aba,Nigeria,517,1081466,2.90
492,Xinxiang,China,62361,1081031,1.76
493,Bukavu,Dr Congo,24513,1078002,5.22
494,Tbilisi,Georgia,77346,1077833,0.05
495,Liupanshui,China,21347,1077317,5.48
496,Cuernavaca,Mexico,592,1075022,1.50
497,Perm,Russia,66952,1071419,0.42
498,Goyang,South Korea,54325,1069196,1.41
499,Voronezh,Russia,631,1067719,0.54
500,Managua,Nicaragua,55472,1063698,0.78
501,Pizhou,China,736,1063231,5.19
502,Lille,France,58458,1063085,0.44
503,Cartagena,Colombia,54694,1062622,0.75
504,Yueqing,China,21693,1060702,3.82
505,Shimkent,Kazakhstan,4,1057936,3.66
506,Tasikmalaya,Indonesia,9998,1056485,5.70
507,Abomey Calavi,Benin,99,1056440,6.60
508,Changwon,South Korea,57734,1055974,-0.17
509,Chihuahua,Mexico,33378,1054766,2.07
510,Saharanpur,India,12993,1054102,4.06
511,Jalandhar,India,33756,1053670,1.93
512,Panjin,China,951,1053125,2.15
513,Nnewi,Nigeria,989343,1050860,6.22
514,Antwerp,Belgium,373,1042471,0.50
515,Oslo,Norway,26758,1041377,1.42
516,Luohe,China,982185,1039941,5.88
517,Diyarbakir,Turkey,18977,1039492,2.01
518,Bishkek,Kyrgyzstan,17166,1038429,2.09
519,Jingzhou Hubei,China,22741,1038296,1.52
520,Wenling,China,015,1037164,3.30
521,Fuyang,China,06913,1036162,2.90
522,Solapur,India,21948,1031037,0.89
523,Shangrao,China,015,1028518,2.67
524,San Jose,United States,276,1027690,0.00
525,Kermanshah,Iran,04561,1025740,2.11
526,Toulouse,France,593,1024166,1.34
527,Johor Bahru,Malaysia,03485,1023900,2.03
528,Zhaoqing,China,996546,1023777,2.73
529,Teresina,Brazil,129,1021229,1.01
530,Siliguri,India,9836,1020303,3.73
531,Ma'anshan,China,986525,1019389,3.33
532,Mersin,Turkey,997131,1016019,1.89
533,Bien Hoa,Vietnam,9581,1013064,3.31
534,Bujumbura,Burundi,954424,1012996,6.14
535,Kirkuk,Iraq,99,1012614,1.66
536,Samarinda,Indonesia,979359,1010413,3.17
537,Rotterdam,Netherlands,08667,1010026,0.13
538,Yueyang,China,9933,1009534,1.05
539,Aracaju,Brazil,991254,1009380,1.83
540,Odesa,Ukraine,293,1009289,-0.10
541,Volgograd,Russia,09238,1004688,-0.45
542,Marrakech,Morocco,988968,1002709,1.39
543,Tampico,Mexico,986228,1001278,1.53
544,Austin,United States,9788,995347,1.68
545,Bazhong,China,924575,991820,7.27
546,Fuzhou Jiangxi,China,91,989880,4.18
547,Hargeysa,Somalia,9458,988716,4.53
548,Huzhou,China,9993,988351,2.85
549,Leshan,China,9555,986923,3.77
550,Denpasar,Indonesia,965359,986853,2.23
551,Dezhou,China,9524,986192,3.52
552,San Miguel De Tucuman,Argentina,97,985656,1.50
553,Saltillo,Mexico,9662,983784,1.76
554,Valparaiso,Chile,975179,983751,0.88
