Rank,City,Country,2020,2019,Change
248,Taizhou Zhejiang,China,1934847,18762,3.11
249,Vienna,Austria,1929944,1915338,0.76
250,Aleppo,Syria,1916781,18393,4.51
251,Valencia,Venezuela,1910188,1885255,1.32
252,Putian,China,1907350,194,5.42
253,Almaty,Kazakhstan,1895742,18629,1.77
254,Baixada Santista,Brazil,1892314,1872844,1.04
255,West Yorkshire,United Kingdom,1889095,1876395,0.68
256,Haikou,China,1889071,1846864,2.29
257,Rabat,Morocco,1884802,1864851,1.07
258,Rajkot,India,1878032,1822437,3.05
259,Quito,Ecuador,1873763,1847748,1.41
260,Wuhu Anhui,China,1870281,1777511,5.22
261,Semarang,Indonesia,1866492,18326,1.85
262,Yancheng Jiangsu,China,1864424,1821247,2.37
263,Panama City,Panama,1860291,1821693,2.12
264,Daqing,China,1859001,186,2.67
265,La Paz,Bolivia,1857797,1835355,1.22
266,Ludhiana,India,1856849,18424,1.44
267,Kollam,India,1851558,17698,5.16
268,Hyderabad,Pakistan,1849829,1814914,1.92
269,Lome,Togo,1827878,17853,2.38
270,Davao City,Philippines,1825450,1784942,2.27
271,Leon De Los Aldamas,Mexico,1825080,11979,1.28
272,Lianyungang,China,1820127,1761551,3.33
273,Bucharest,Romania,1803247,18122,-0.50
274,Turin,Italy,1792163,1789115,0.17
275,Hamburg,Germany,1789954,17911,-0.07
276,Warsaw,Poland,1783251,1775933,0.41
277,Adana,Turkey,1770850,1749869,1.20
278,Budapest,Hungary,1768073,1763913,0.24
279,Zhuhai,China,1759378,17158,2.58
280,Montevideo,Uruguay,1752388,17440,0.44
281,Datong,China,1745333,11797,2.56
282,Madurai,India,1734173,14385,1.75
283,Benin City,Nigeria,1727169,1676132,3.04
284,Palembang,Indonesia,1722700,1693463,1.73
285,Lyon,France,1719268,14738,0.85
286,Santa Cruz,Bolivia,1712688,1676912,2.13
287,Matola,Mozambique,1705886,16687,2.23
288,Gaziantep,Turkey,1704118,1667798,2.18
289,Meerut,India,1696440,1665859,1.84
290,Quanzhou,China,1694076,1631153,3.86
291,Jiangmen,China,1687310,1663153,1.45
292,Sharjah,United Arab Emirates,1684649,1628932,3.42
293,Glasgow,United Kingdom,1673332,1666632,0.40
294,Varanasi,India,1664942,1639138,1.57
295,Novosibirsk,Russia,1663748,16185,0.82
296,Xiangyang,China,1657726,1631785,1.59
297,Shiraz,Iran,1651362,1627939,1.44
298,Raipur,India,1642169,1581479,3.84
299,Phoenix,United States,1633020,163,0.00
300,Stockholm,Sweden,1632798,137,1.54
301,Mosul,Iraq,1629932,1577979,3.29
302,Anshan,China,1629166,16135,0.97
303,Can Tho,Vietnam,1617602,15519,5.69
304,La Laguna,Mexico,1614854,15533,3.98
305,Tabriz,Iran,1611133,1596171,0.94
306,Cixi,China,1609221,1544524,4.19
307,Marseille,France,1608236,13434,0.30
308,Auckland,New Zealand,1606564,15828,1.55
309,Jilin,China,1603332,1585383,1.13
310,Jamshedpur,India,1599434,15577,1.84
311,Srinagar,India,1585774,15493,2.32
312,Philadelphia,United States,1584540,158,0.03
313,Ulaanbaatar,Mongolia,1584358,1552654,2.04
314,Makassar,Indonesia,1583553,15525,1.77
315,Karaj,Iran,1580413,15813,-0.06
316,Yinchuan,China,1579049,15944,3.14
317,Cordoba,Argentina,1571944,15598,0.78
318,Daejon,South Korea,1565656,1561931,0.24
319,San Antonio,United States,1564490,15472,1.11
320,Qiqihaer,China,1559581,15363,1.48
321,Aurangabad,India,1558412,1517148,2.72
322,Muscat,Oman,1549729,11635,3.20
323,Yichang,China,1548423,149,3.91
324,Calgary,Canada,1547484,1512539,2.31
325,Batam,Indonesia,1546064,1473274,4.94
326,Xining,China,1539437,14953,2.95
327,Munich,Germany,1538302,1521417,1.11
328,Gaoxiong,Taiwan,1537640,1534349,0.21
329,Qinhuangdao,China,1535223,1483631,3.48
330,Rosario,Argentina,1532128,15253,1.45
331,Harare,Zimbabwe,1529920,1521311,0.57
332,Hengyang,China,1527107,1479887,3.19
333,Gwangju,South Korea,1521506,1519448,0.14
334,Ciudad Juarez,Mexico,1519214,1499224,1.33
335,Monrovia,Liberia,1517235,14626,3.42
336,Yekaterinburg,Russia,1503812,14933,0.70
337,Tiruppur,India,1496389,1432643,4.45
338,Jining Shandong,China,1494249,1471411,1.55
339,Medina,Saudi Arabia,1488782,1459468,2.01
340,Grande Sao Luis,Brazil,1485763,1472956,0.87
341,Abu Dhabi,United Arab Emirates,1482816,14557,2.12
342,Jodhpur,India,1471900,1434312,2.62
343,Edmonton,Canada,1461182,1429743,2.20
344,Anyang,China,1460114,1393965,4.75
345,Kananga,Dr Congo,1458400,1395418,4.51
346,Natal,Brazil,1456844,1426562,2.12
347,Jabalpur,India,1449787,1429683,1.41
348,Tegucigalpa,Honduras,1444085,13162,2.92
349,Suqian,China,1440060,1357818,6.06
350,Ranchi,India,1439195,195,2.50
351,Huainan,China,1437838,1414863,1.62
352,Mandalay,Myanmar,1437554,15821,2.26
353,Zhangjiakou,China,1434649,104,2.44
354,Asansol,India,1431260,144,1.48
355,Kharkiv,Ukraine,1429004,1432345,-0.23
356,Chaozhou,China,1428383,18284,1.43
357,Kathmandu,Nepal,1423515,13768,3.45
358,N Djamena,Chad,1422547,1371524,3.72
359,Onitsha,Nigeria,1414790,1348529,4.91
360,San Diego,United States,1409570,195,0.00
361,San Jose,Costa Rica,1399629,1378546,1.53
362,Chon Buri,Thailand,1398645,1379856,1.36
363,Belgrade,Serbia,1397939,1393717,0.30
