Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Population density (people per sq. km of land area),EN.POP.DNST,Central African Republic,CAF,4.50533564480401,5.84356961700215,7.09274134001092,7.12127997688529,7.13978297858679,7.1658399948634,7.21238241998138,7.28384057273107,7.37748884394363,7.49041221227006,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Chad,TCD,4.73574650571792,6.63568456162643,9.816541454892,10.1530733799238,10.4990660736976,10.8509839580686,11.2063016200762,11.5642201397713,11.9256456480305,12.2917336404066,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Channel Islands,CHI,710.459623335238,749.712150100253,813.121243452642,818.464678001971,823.424274152672,828.787910722982,835.277809962951,843.045487029935,851.843467166921,861.106093786457,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Chile,CHL,17.853464870482,20.6344210540694,23.1779873303205,23.402282979991,23.6324815360804,23.884591723835,24.1675573408594,24.4899577081939,24.8414839222839,25.1894460666519,..,..
Population density (people per sq. km of land area),EN.POP.DNST,China,CHN,120.915506084734,134.492481002789,143.172108531324,143.871389770868,144.583452998035,145.317352120725,146.057642237226,146.850677605209,147.674050750889,148.348833270666,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Colombia,COL,29.8355736818387,35.7187607030194,41.1561487156377,41.5283650292925,41.9067075259126,42.332317260027,42.8307048219919,43.4205029292474,44.0827796304642,44.7598521856692,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Comoros,COM,221.168181891975,291.433090925489,379.671669439376,388.968821203238,398.44437167162,408.054795859382,417.74528452598,427.507777488981,437.341200057394,447.244477540227,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Dem. Rep.",COD,15.2674281555325,20.7784680531969,29.4458229858186,30.4451807414922,31.4765033854569,32.538958999581,33.6316111245892,34.7540314505635,35.9051472177499,37.0825923557045,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Congo, Rep.",COG,6.90113323572474,9.15786530014641,12.8692357247438,13.2070219619327,13.536635431918,13.8710805270864,14.219897510981,14.5856486090776,14.9654524158126,15.3568462664715,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Costa Rica,CRI,61.0934782608696,77.6022718370544,90.7380728554642,91.8135526831179,92.8732275754015,93.9168820994908,94.9432824128476,95.9527027027027,96.9438699569134,97.9130630630631,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Cote d'Ivoire,CIV,37.4996132075472,51.7442389937107,66.1278459119497,67.7584528301887,69.4575628930818,71.2191289308176,73.0381855345912,74.9141949685535,76.8473867924528,78.8340534591195,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Croatia,HRV,85.4474691468431,79.9195492756215,76.4943173695497,76.2608649035025,76.0487669764117,75.7396175839886,75.1180128663331,74.5952287348106,73.7049857040743,73.0493745532523,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Cuba,CUB,98.6684078212291,103.598044692737,105.150241012994,105.751116374129,108.25868355402,108.699307825418,108.871188233032,108.970476831379,109.010373005191,108.999596231494,..,..
